Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-May-2020,604.00,608.70,590.60,594.80,599.806732608039235421,327867,8718,196656834.00,62890,19.18,18.10,-9.20
18-May-2020,570.45,604.60,570.45,600.60,590.621856037134958811,647153,18054,382222706.00,128066,19.79,34.15,30.15
15-May-2020,571.00,585.00,565.90,570.20,573.742473188468194204,360013,8314,206554749.00,34443,9.57,19.10,-0.80
14-May-2020,572.00,577.80,566.10,569.60,571.599743734303726103,195110,4885,111524826.00,35936,18.42,11.70,-2.40
13-May-2020,603.50,603.50,569.10,570.20,577.108688686939298613,343320,9145,198132955.00,89663,26.12,34.40,-33.30
12-May-2020,584.70,593.60,566.25,570.00,576.269773187806041529,245269,5754,141341111.00,41141,16.77,27.35,-14.70
11-May-2020,600.00,600.70,583.85,586.10,590.467886764435249995,157583,4423,93047701.00,25283,16.04,16.85,-13.90
8-May-2020,595.40,601.00,589.55,591.85,594.191596044677764933,135817,3633,80701320.00,20739,15.27,11.45,-3.55
7-May-2020,598.90,601.80,587.25,589.40,594.844306176389107272,133557,3415,79445621.00,21370,16.00,14.55,-9.50
6-May-2020,597.00,605.90,590.00,592.05,596.040959658147526846,233083,4848,138927015.00,63653,27.31,15.90,-4.95
5-May-2020,623.00,623.00,595.60,597.05,607.976082468626066170,294512,7645,179056252.00,53704,18.23,27.40,-25.95
4-May-2020,593.70,616.50,580.70,612.00,607.767891793762017480,679739,15034,413123539.00,124589,18.33,35.80,18.30
