Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-February-2021,826.90,878.55,824.30,849.10,857.272979087054471145,640082,18820,548725003.00,162363,25.37,54.25,22.20
2-February-2021,810.00,826.90,801.95,821.95,813.308037934581922482,293558,7596,238753081.00,104110,35.46,24.95,11.95
1-February-2021,818.50,830.95,785.55,805.55,813.740242964961263349,349927,12337,284749682.00,76128,21.76,45.40,-12.95
29-January-2021,845.10,850.05,821.15,825.60,836.529413147747578293,212660,5687,177896345.00,28767,13.53,28.90,-19.50
28-January-2021,834.00,848.70,826.00,841.55,839.040531434259897388,130590,3849,109570303.00,15114,11.57,22.70,7.55
27-January-2021,842.90,855.95,825.55,842.10,844.252825732628147556,300630,10397,253807727.00,73399,24.42,30.40,-0.80
25-January-2021,808.55,857.00,808.55,837.10,838.320471490235141416,331290,9332,277727189.00,54909,16.57,48.45,28.55
22-January-2021,818.20,822.40,798.50,808.05,810.899824191891938937,114898,4827,93170768.00,23037,20.05,23.90,-10.15
21-January-2021,838.00,839.20,809.25,813.00,824.022883317354715629,103263,2906,85091075.00,21443,20.77,29.95,-25.00
20-January-2021,823.90,834.55,822.50,832.60,828.165190747163204148,59398,2369,49191356.00,11960,20.14,12.05,8.70
19-January-2021,804.50,824.95,803.00,822.35,815.195750274682153508,101936,3247,83097794.00,14143,13.87,21.95,17.85
18-January-2021,823.70,826.75,796.35,801.30,808.151701611858541369,108074,2967,87340187.00,21419,19.82,30.40,-22.40
15-January-2021,841.45,845.10,821.00,823.55,831.825842894969108561,84975,2361,70684401.00,19269,22.68,24.10,-17.90
14-January-2021,840.10,847.65,829.30,840.50,837.276023268945412524,76153,1819,63761081.00,16711,21.94,18.35,0.40
13-January-2021,845.00,851.95,832.55,841.40,843.716600979555264958,165177,4973,139362577.00,42945,26.00,19.40,-3.60
12-January-2021,859.50,869.65,841.00,843.15,852.774051799061359290,143825,3438,122650228.00,30247,21.03,28.65,-16.35
11-January-2021,839.50,860.00,832.60,856.55,848.132115762854734475,177950,4624,150925110.00,44395,24.95,27.40,17.05
8-January-2021,826.00,846.00,826.00,838.35,837.928912363067292644,178920,4231,149922241.00,51095,28.56,20.00,12.35
7-January-2021,829.50,829.50,817.85,826.35,823.923573528621544649,130269,4226,107331700.00,34276,26.31,11.65,-3.15
6-January-2021,830.00,834.15,815.35,825.00,827.316445368191421749,116434,2101,96327763.00,21543,18.50,18.80,-5.00
5-January-2021,832.00,843.50,825.00,827.20,832.440698528540625074,211015,5906,175657474.00,60175,28.52,18.50,-4.80
4-January-2021,829.20,837.00,826.90,832.25,831.926306200461437608,117459,2615,97717232.00,22175,18.88,10.10,3.05
1-January-2021,823.35,828.85,821.00,826.45,826.173779563371740448,52768,1609,43595538.00,11481,21.76,7.85,3.10
31-December-2020,831.00,833.25,817.05,819.85,824.304183409873708381,139360,3237,114875031.00,30898,22.17,16.20,-11.15
30-December-2020,834.55,834.55,816.30,823.65,821.448136132552733962,80451,1909,66086324.00,22471,27.93,18.25,-10.90
29-December-2020,831.00,835.55,818.00,827.65,826.864050897201047883,101538,2450,83958122.00,26541,26.14,17.55,-3.35
28-December-2020,836.00,838.95,825.35,830.05,833.354121002012972489,178840,5655,149037051.00,71527,39.99,13.60,-5.95
24-December-2020,830.05,835.00,815.50,833.45,825.933035993936280835,239457,5404,197775447.00,54778,22.88,19.50,3.40
23-December-2020,798.00,827.20,792.45,824.25,814.750123382354013755,411323,10922,335125465.00,186117,45.25,34.75,26.25
22-December-2020,778.05,798.35,760.65,795.35,780.152181394952945225,270217,5669,210810382.00,53138,19.66,37.70,17.30
21-December-2020,791.90,816.75,760.00,778.05,798.187924087923275623,738644,21079,589576721.00,231154,31.29,56.75,-13.85
18-December-2020,785.00,795.70,781.50,793.90,789.942369829951493329,254398,6264,200959759.00,115585,45.43,14.20,8.90
17-December-2020,787.50,795.00,781.55,783.20,788.037413600252387644,139468,2528,109906002.00,21750,15.59,13.45,-4.30
16-December-2020,787.00,789.60,782.50,786.65,785.770254318429232847,152486,4039,119818963.00,52207,34.24,7.10,-0.35
15-December-2020,791.00,798.00,779.85,781.70,788.536128721181491865,279985,4924,220778288.00,42317,15.11,18.15,-9.30
14-December-2020,772.00,792.80,772.00,789.25,786.236454409317395854,816022,21434,641586244.00,316957,38.84,20.80,17.25
11-December-2020,766.40,766.40,753.00,755.90,759.707347205898066032,149744,4246,113761617.00,39812,26.59,13.40,-10.50
