Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-March-2021,750.00,756.15,727.10,733.30,741.244550510057495738,880587,16865,652730315.00,132619,15.06,29.05,-16.70
4-March-2021,753.00,767.05,743.95,758.10,756.632936704927855835,856133,14248,647778426.00,91448,10.68,23.10,5.10
3-March-2021,739.10,782.00,739.10,776.70,772.549312459986976957,1462024,23513,1129485636.00,383623,26.24,42.90,37.60
2-March-2021,733.90,739.75,723.40,735.20,733.924672541988009359,577784,7683,424049933.00,98820,17.10,16.35,1.30
1-March-2021,725.90,738.15,711.80,730.20,728.203985533311969026,764515,10518,556722870.00,171011,22.37,26.35,4.30
26-February-2021,724.00,741.75,711.60,714.80,723.525837670795111616,1034207,15340,748275486.00,210612,20.36,30.15,-9.20
25-February-2021,733.10,752.85,731.60,742.90,742.396538191523910343,1351779,24983,1003556050.00,520086,38.47,21.25,9.80
24-February-2021,732.00,745.00,656.55,729.65,720.339522911214738733,4879008,63054,3514542295.00,1572708,32.23,88.45,-2.35
23-February-2021,689.20,736.60,682.30,729.50,713.501293083035919109,1625959,22066,1160123849.00,350242,21.54,54.30,40.30
22-February-2021,672.15,697.10,671.00,683.60,686.945855820557219715,949428,14802,652205630.00,110595,11.65,26.10,11.45
19-February-2021,695.55,695.60,656.00,670.65,674.663418418054444525,990072,19232,667965360.00,184012,18.59,39.60,-24.90
18-February-2021,703.00,711.00,694.10,697.85,703.037798329722180126,488302,7808,343294763.00,71411,14.62,16.90,-5.15
17-February-2021,698.95,703.20,687.50,696.70,695.860037230714567096,517852,7630,360352512.00,37949,7.33,15.70,-2.25
16-February-2021,672.50,708.70,670.00,698.60,699.059529567901421181,1323124,19656,924942441.00,176423,13.33,38.70,26.10
15-February-2021,687.95,687.95,669.55,671.85,677.704613936415282659,422806,6816,286537577.00,73083,17.29,18.40,-16.10
12-February-2021,694.25,697.85,678.30,680.45,686.983899053077769665,458855,7072,315225997.00,73341,15.98,19.55,-13.80
11-February-2021,690.25,704.60,683.00,694.50,693.648814874541956395,626305,9304,434435721.00,95853,15.30,21.60,4.25
10-February-2021,713.00,724.40,680.40,690.25,697.809265849624594019,2450547,48986,1710014403.00,292029,11.92,44.00,-22.75
