Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-May-2020,1501.00,1582.00,1501.00,1575.00,1547.870936522475502479,115726,9078,179128912.00,27189,23.49,81.00,74.00
20-May-2020,1500.50,1514.20,1494.00,1500.45,1502.957130358705161854,50292,4998,75586720.00,18629,37.04,20.20,-0.05
19-May-2020,1506.30,1516.65,1482.85,1505.75,1501.986789882811582630,85162,5040,127912199.00,17284,20.30,33.80,-0.55
18-May-2020,1564.00,1564.00,1498.70,1501.15,1512.793117332832255120,74506,5678,112712164.00,27827,37.35,65.30,-62.85
15-May-2020,1530.00,1559.60,1510.15,1553.75,1534.821695116799399183,63913,3933,98095059.00,10480,16.40,49.45,23.75
14-May-2020,1554.95,1556.30,1518.00,1522.15,1527.314449904494473740,61253,4156,93552592.00,19419,31.70,38.30,-32.80
13-May-2020,1575.00,1575.05,1533.85,1562.90,1560.866416707189107567,78146,4651,121975467.00,16921,21.65,41.20,-12.10
12-May-2020,1537.80,1543.40,1511.95,1523.20,1524.363835920763798894,151244,8561,230550884.00,28259,18.68,31.45,-14.60
11-May-2020,1580.00,1601.10,1555.00,1569.25,1575.302464176387434022,98329,6593,154897916.00,17569,17.87,46.10,-10.75
8-May-2020,1615.00,1636.75,1570.00,1577.90,1596.039409421666737040,142098,8940,226794008.00,21630,15.22,66.75,-37.10
7-May-2020,1610.00,1627.65,1546.25,1593.95,1577.172780117876286492,123689,9219,195078924.00,23484,18.99,81.40,-16.05
6-May-2020,1611.00,1637.65,1578.45,1610.60,1610.545700936006474172,261964,17451,421904994.00,187510,71.58,59.20,-0.40
5-May-2020,1681.35,1693.30,1578.50,1618.55,1621.454569969104651252,129793,12284,210453453.00,38122,29.37,114.80,-62.80
4-May-2020,1748.00,1751.00,1672.25,1676.20,1708.268370092466272548,105552,12657,180311143.00,39562,37.48,78.75,-71.80
